id,name,price,discounted_price,name_slug
99,Sahil Bhadviya Stock Fundamentals Analysis Course ,2490.00,249.00,dh-99
100,Baap of Chart 325 Premium Strategy,2400.00,249.00,dh-100
101,Money Making Trading by Tushar Ghone Course ,1999.00,249.00,dh-101
102,Sahil Bhadviya Everything about Mutual Fund Course ,1990.00,249.00,dh-102
103,Option Trading Only Trading Psychology + Advanced Risk Management Course,1848.00,249.00,dh-103
104,Baap of Chart 200X Option Buying Strategy,1500.00,249.00,dh-104
105,Baap of Chart 145 Premium Strategies,1500.00,249.00,dh-105
106,Baap of Chart Dot to Dot Level Strategy,1500.00,249.00,dh-106
107,Option Buying With Paresh Patel Course ,1499.00,249.00,dh-107
108,The Alpha Trader Umar Punjabi Crypto Masterclass ,1499.00,249.00,dh-108
109,Sahil Bhadviya Personal Finance Foundation Course ,1490.00,249.00,dh-109
110,BankNifty Option Chain Analysis by Pawan Kukreja ,1099.00,249.00,dh-110
111,Premium Membership – Premium Plan,999.00,149.00,dh-111
112,Kundan Kishore Course on Indian Stock Market ,990.00,149.00,dh-112
113,Premium Membership – Regular Plan,599.00,149.00,dh-113
114,Classy Market Option Selling Sessions ,0.00,149.00,dh-114
115,BigBull Crypto Masterclass 2 ,0.00,149.00,dh-115
116,Classy Market Strategies Sessions ,0.00,149.00,dh-116
117,Index Option Only Hedging Class ,0.00,149.00,dh-117
118,Jaspreet Singh Stock Market Course ,0.00,149.00,dh-118
119,Maverick SMC Course ,0.00,149.00,dh-119
120,Naukri se Azadi Pehla Kadam Kunal Sarogi Course ,0.00,149.00,dh-120
121,The Legend Trader Course 2022 Course ,0.00,149.00,dh-121
122,Trade Legend Course Price Action and Chart Reading Training Course ,0.00,149.00,dh-122
123,Bharat Jhunjhunwala Pro RSI Course ,0.00,149.00,dh-123
124,Best Intraday Stock Trading Strategy by Girish Khenmani ,0.00,149.00,dh-124
125,Hedging Power Webinar with Nitish Kumar ,0.00,149.00,dh-125
126,Ghanshyam Tech Training Session 2022 ,0.00,149.00,dh-126
127,Stock Archery Course ,0.00,149.00,dh-127
128,Subhadip Nandy Course ,0.00,149.00,dh-128
129,Technical Analysis Using Fibonacci Retracements by CA Saksham Agarwal ,0.00,149.00,dh-129
130,Trade Achievers Course ,0.00,149.00,dh-130
131,Trade With Singh Course ,0.00,149.00,dh-131
132,Triventures Options Training Program 2021 ,0.00,149.00,dh-132
